name,benefits
"Acolyte","Ability Score Increases: +1 to Wisdom and one other ability score. | Adventures and Advancement: In small settlements without other resources, your authority may extend to such
matters as settling disputes and punishing criminals. You might also be expected
to deal with local outbreaks of supernatural dangers such as fiendish
possessions, cults, and the unquiet dead. If you solve several problems brought
to you by members of your faith, you may be promoted (or reinstated) within the
hierarchy of your order. You gain the free service of up to 4 acolytes, and
direct access to your order’s leaders. | Connection and Memento: Roll 1d10, choose, or make up your own.


ACOLYTE CONNECTIONS

 1.  A beloved high priest or priestess awaiting your return to the temple once
     you resolve your crisis of faith.
 2.  A former priest—exposed by you as a heretic—who swore revenge before
     fleeing.
 3.  The wandering herald who rescued you as an orphan and sponsored your entry
     into your temple.
 4.  The inquisitor who rooted out your heresy (or framed you) and had you
     banished from your temple.
 5.  The fugitive charlatan or cult leader whom you once revered as a holy
     person.
 6.  Your scandalous friend, a fellow acolyte who fled the temple in search of
     worldly pleasures.
 7.  The high priest who discredited your temple and punished the others of your
     order.
 8.  The wandering adventurer whose tales of glory enticed you from your temple.
 9.  The leader of your order, a former adventurer who sends you on quests to
     battle your god’s enemies.
 10. The former leader of your order who inexplicably retired to a life of
     isolation and penance.


ACOLYTE MEMENTO

 1.  The timeworn holy symbol bequeathed to you by your beloved mentor on their
     deathbed.
 2.  A precious holy relic secretly passed on to you in a moment of great
     danger.
 3.  A prayer book which contains strange and sinister deviations from the
     accepted liturgy.
 4.  A half-complete book of prophecies which seems to hint at danger for your
     faith—if only the other half could be found!
 5.  A gift from a mentor: a book of complex theology which you don’t yet
     understand.
 6.  Your only possession when you entered the temple as a child: a signet ring
     bearing a coat of arms.
 7.  A strange candle which never burns down.
 8.  The true name of a devil that you glimpsed while tidying up papers for a
     sinister visitor.
 9.  A weapon (which seems to exhibit no magical properties) given to you with
     great solemnity by your mentor.
 10. A much-thumbed and heavily underlined prayer book given to you by the
     fellow acolyte you admire most. | Equipment: Holy symbol (amulet or reliquary), common clothes, robe, and a prayer book,
prayer wheel, or prayer beads. | Languages: One of your choice. | Skill Proficiencies: Religion, and either Insight or Persuasion."
"Artisan","Ability Score Increases: +1 to Intelligence and one other ability score. | Adventures And Advancement: If you participate in the creation of a magic item (a “master work”), you will
gain the services of up to 8 commoner apprentices with the appropriate tool
proficiency. | Connection and Memento: Roll 1d10, choose, or make up your own.


ARTISAN CONNECTIONS

 1.  The cruel master who worked you nearly to death and now does the same to
     other apprentices.
 2.  The kind master who taught you the trade.
 3.  The powerful figure who refused to pay for your finest work.
 4.  The jealous rival who made a fortune after stealing your secret technique.
 5.  The corrupt rival who framed and imprisoned your mentor.
 6.  The bandit leader who destroyed your mentor’s shop and livelihood.
 7.  The crime boss who bankrupted your mentor.
 8.  The shady alchemist who always needs dangerous ingredients to advance the
     state of your art.
 9.  Your apprentice who went missing.
 10. The patron who supports your work.


ARTISAN MEMENTOS

 1.  Jeweler: A 10,000 gold commission for a ruby ring (now all you need is a
     ruby worth 5,000 gold).
 2.  Smith: Your blacksmith's hammer (treat as a light hammer).
 3.  Cook: A well-seasoned skillet (treat as a mace).
 4.  Alchemist: A formula with exotic ingredients that will produce...something.
 5.  Leatherworker: An exotic monster hide which could be turned into
     striking-looking leather armor.
 6.  Mason: Your trusty sledgehammer (treat as a warhammer).
 7.  Potter: Your secret technique for vivid colors which is sure to disrupt Big
     Pottery.
 8.  Weaver: A set of fine clothes (your own work).
 9.  Woodcarver: A longbow, shortbow, or crossbow (your own work).
 10. Calligrapher: Strange notes you copied from a rambling manifesto. Do they
     mean something? | Equipment: One set of artisan's tools, traveler's clothes. | Skill Proficiencies: Persuasion, and either Insight or History. | Tool Proficiencies: One type of artisan’s tools or smith’s tools. | Trade Mark: When in a city or town, you have access to a fully-stocked workshop with
everything you need to ply your trade. Furthermore, you can expect to earn full
price when you sell items you have crafted (though there is no guarantee of a
buyer)."
"Charlatan","Ability Score Increases: +1 to Charisma and one other ability score. | Adventures and Advancement: If you pull off a long-standing impersonation or false identity with exceptional
success, you may eventually legally become that person. If you’re impersonating
a real person, they might be considered the impostor. You gain any property and
servants associated with your identity. | Connection and Memento: Roll 1d10, choose, or make up your own.


CHARLATAN CONNECTIONS

 1.  A relentless pursuer: an inspector who you once made a fool of.
 2.  A relentless pursuer: a mark you once cheated.
 3.  A relentless pursuer: a former partner just out of jail who blames you for
     everything.
 4.  A former partner now gone straight who couldn’t possibly be coaxed out of
     retirement.
 5.  A respected priest or tavernkeeper who tips you off about rich potential
     marks.
 6.  The elusive former partner who ratted you out and sent you to jail.
 7.  A famous noble or politician who through sheer luck happens to bear a
     striking resemblance to you.
 8.  The crook who taught you everything and just can’t stay out of trouble.
 9.  A gullible noble who knows you by one of your former aliases, and who
     always seems to pop up at inconvenient times.
 10. A prominent noble who knows you only under your assumed name and who trusts
     you as their spiritual advisor, tutor, long-lost relative, or the like.


CHARLATAN MEMENTOS

 1.  A die that always comes up 6.
 2.  A dozen brightly-colored “potions”.
 3.  A magical staff that emits a harmless shower of sparks when vigorously
     thumped.
 4.  A set of fine clothes suitable for nobility.
 5.  A genuine document allowing its holder one free release from prison for a
     non-capital crime.
 6.  A genuine deed to a valuable property that is, unfortunately, quite
     haunted.
 7.  An ornate harlequin mask.
 8.  Counterfeit gold coins or costume jewelry apparently worth 100 gold (DC 15
     Investigation check to notice they’re fake).
 9.  A sword that appears more magical than it really is (its blade is enchanted
     with continual flame and it is a mundane weapon).
 10. A nonmagical crystal ball. | Many Identities: You have a bundle of forged papers of all kinds—property deeds, identification
papers, love letters, arrest warrants, and letters of recommendation—all
requiring only a few signatures and flourishes to meet the current need. When
you encounter a new document or letter, you can add a forged and modified copy
to your bundle. If your bundle is lost, you can recreate it with a forgery kit
and a day’s work. | Skill Proficiencies: Deception, and either Culture, Insight, or Sleight of Hand. | Suggested Equipment: Common clothes, disguise kit, forgery kit. | Tool Proficiencies: Disguise kit, forgery kit."
"Criminal","Ability Score Increases: +1 to Dexterity and one other ability score. | Adventures And Advancement: If you pull off several successful jobs or heists, you may be promoted (or
reinstated) as a leader in your gang. You may gain the free service of up to 8
bandits at any time. | Connection and Memento: Roll 1d10, choose, or make up your own.


CRIMINAL CONNECTIONS

 1.  The master criminal who inducted you into your first gang.
 2.  The cleric or herald who convinced you to use your skills for good (and who
     may be legally responsible for your continued good behavior).
 3.  Your sibling or other relative—who also happens to be a representative of
     the law.
 4.  The gang of rascals and pickpockets who once called you their leader.
 5.  The bounty hunter who has sworn to bring you to justice.
 6.  Your former partner who made off with all the loot after a big score.
 7.  The masked courier who occasionally gives you jobs.
 8.  The crime boss to whom you have sworn loyalty (or to whom you owe an
     enormous debt).
 9.  The master thief who once stole something precious from you.
 10. The corrupt noble who ruined your once-wealthy family.


CRIMINAL MEMENTOS

 1.  A golden key to which you haven't discovered the lock.
 2.  A brand that was burned into your shoulder as punishment for a crime.
 3.  A scar for which you have sworn revenge.
 4.  The distinctive mask that gives you your nickname (for instance, the Black
     Mask or the Red Fox).
 5.  A gold coin which reappears in your possession a week after you've gotten
     rid of it.
 6.  The stolen symbol of a sinister organization; not even your fence will take
     it off your hands.
 7.  Documents that incriminate a dangerous noble or politician.
 8.  The floor plan of a palace.
 9.  The calling cards you leave after (or before) you strike.
 10. A manuscript written by your mentor: Secret Exits of the World's Most
     Secure Prisons. | Equipment: Common clothes, dark cloak, thieves' tools. | Skill Proficiencies: Stealth, and either Deception or Intimidation. | Thieves' Cant: You know thieves' cant: a set of slang, hand signals, and code terms used by
professional criminals. A creature that knows thieves' cant can hide a short
message within a seemingly innocent statement. A listener who knows thieves'
cant understands the message. | Tool Proficiencies: Gaming set, thieves' tools."
"Cultist","Ability Score Increases: +1 to Intelligence and one other ability score. | Adventures and Advancement: Members of your former order may be hunting you for reenlistment, punishment, or
both. Additionally, your cult still seeks to open a portal, effect an
apotheosis, or otherwise cause catastrophe. Eventually you may have to face the
leader of your cult and perhaps even the being you once worshiped. | Connection and Memento: Roll 1d10, choose, or make up your own.


CULTIST CONNECTIONS

 1.  The cult leader whom you left for dead.
 2.  The cleric or herald who showed you the error of your ways.
 3.  The voice which still speaks to you in dreams.
 4.  The charismatic cultist whose honeyed words and promises first tempted you.
 5.  The friend or loved one still in the cult.
 6.  Your former best friend who now hunts you for your desertion of the cult.
 7.  The relentless inquisitor who hunts you for your past heresy.
 8.  The demon which you and your compatriots accidentally unleashed.
 9.  The self-proclaimed deity who barely escaped from their angry disciples
     after their magic tricks and fakeries were revealed.
 10. The masked cult leader whose identity you never learned, but whose cruel
     voice you would recognize anywhere.


CULTIST MEMENTOS

 1.  The sinister tattoo which occasionally speaks to you.
 2.  The cursed holy symbol which appears in your possession each morning no
     matter how you try to rid yourself of it.
 3.  The scar on your palm which aches with pain when you disobey the will of
     your former master.
 4.  The curved dagger that carries a secret enchantment able only to destroy
     the being you once worshiped.
 5.  The amulet which is said to grant command of a powerful construct.
 6.  A forbidden tome which your cult would kill to retrieve.
 7.  An incriminating letter to your cult leader from their master (a noted
     noble or politician).
 8.  A compass which points to some distant location or object.
 9.  A talisman which is said to open a gateway to the realm of a forgotten god.
 10. The birthmark which distinguishes you as the chosen vessel of a reborn god. | Equipment: Holy symbol (amulet or reliquary), common clothes, robes, 5 torches. | Forbidden Lore: When you fail an Arcana or Religion check, you know what being or book holds the
knowledge you seek finding the book or paying the being’s price is another
matter. | Languages: One of your choice. | Skill Proficiencies: Religion, and either Arcana or Deception."
"Entertainer","Ability Score Increases: +1 to Charisma and one other ability score. | Adventures And Advancement: Some of your admirers will pay you to plead a cause or smear an enemy. If you
succeed at several such quests, your fame will grow. You will be welcome at
royal courts, which will support you at a rich lifestyle. | Connection and Memento: Roll 1d10, choose, or make up your own.


ENTERTAINER CONNECTIONS

 1.  Your rival, an equally talented performer.
 2.  The cruel ringleader of the sinister circus where you learned your trade.
 3.  A noble who wants vengeance for the song you wrote about him.
 4.  The actor who says that there’s always room in their troupe for you and
     your companions.
 5.  The noble who owes you a favor for penning the love poems that won their
     spouse.
 6.  Your former partner, a slumming noble with a good ear and bad judgment.
 7.  The rival who became successful and famous by taking credit for your best
     work.
 8.  The highly-placed courtier who is always trying to further your career.
 9.  A jilted lover who wants revenge.
 10. The many tavernkeepers and tailors to whom you owe surprisingly large sums.


ENTERTAINER MEMENTOS

 1.  Your unfinished masterpiece—if you can find inspiration to overcome your
     writer's block.
 2.  Fine clothing suitable for a noble and some reasonably convincing costume
     jewelry.
 3.  A love letter from a rich admirer.
 4.  A broken instrument of masterwork quality—if repaired, what music you could
     make on it!
 5.  A stack of slim poetry volumes you just can't sell.
 6.  Jingling jester's motley.
 7.  A disguise kit.
 8.  Water-squirting wands, knotted scarves, trick handcuffs, and other tools of
     a bizarre new entertainment trend: a nonmagical magic show.
 9.  A stage dagger.
 10. A letter of recommendation from your mentor to a noble or royal court. | Equipment: Lute or other musical instrument, costume. | Pay the Piper: In any settlement in which you haven't made yourself unpopular, your
performances can earn enough money to support yourself and your companions: the
bigger the settlement, the higher your standard of living, up to a moderate
lifestyle in a city. | Skill Proficiencies: Performance, and either Acrobatics, Culture, or Persuasion."
"Exile","Ability Score Increases: +1 to Wisdom and one other ability score. | Adventures And Advancement: You may occasionally meet others from your native land. Some may be friends, and
some dire enemies; few will be indifferent to you. After a few such encounters,
you may become the leader of a faction of exiles. Your followers include up to
three NPCs of Challenge Rating ½ or less, such as scouts. | Connection and Memento: Roll 1d10, choose, or make up your own.


EXILE CONNECTIONS

 1.  The companions who shared your exile.
 2.  The kindly local who taught you Common.
 3.  The shopkeeper or innkeeper who took you in and gave you work.
 4.  The hunters from your native land who pursue you.
 5.  The distant ruler who banished you until you redeem yourself.
 6.  The community of fellow exiles who have banded together in a city
     neighborhood.
 7.  The acting or carnival troupe which took you in.
 8.  The suspicious authorities who were convinced you were a spy.
 9.  Your first friend after your exile: a grizzled adventurer who traveled with
     you.
 10. A well-connected and unscrupulous celebrity who hails from your homeland.


EXILE MEMENTOS

 1.  A musical instrument which was common in your homeland.
 2.  A memorized collection of poems or sagas.
 3.  A locket containing a picture of your betrothed from whom you are
     separated.
 4.  Trade, state, or culinary secrets from your native land.
 5.  A piece of jewelry given to you by someone you will never see again.
 6.  An inaccurate, ancient map of the land you now live in.
 7.  Your incomplete travel journals.
 8.  A letter from a relative directing you to someone who might be able to help
     you.
 9.  A precious cultural artifact you must protect.
 10. An arrow meant for the heart of your betrayer. | Equipment: Traveler's clothes, 10 days rations. | Fellow Traveler: You gain an expertise die on Persuasion checks against others who are away from
their land of birth. | Skill Proficiencies: Survival, and either History or Performance."
"Farmer","Ability Score Increases: +1 to Wisdom and one other ability score. | Adventures And Advancement: You left the farm for a reason but you still have an eye for land. If you
acquire farming property, estates, or domains, you can earn twice as much as you
otherwise would from their harvests, or be supported by your lands at a
lifestyle one level higher than you otherwise would be. | Bit and Bridle: You know how to stow and transport food. You and one animal under your care can
each carry additional Supply equal to your proficiency bonus. | Connection and Memento: Roll 1d10, choose, or make up your own.


FARMER CONNECTIONS

 1.  The landowner who foreclosed on your family land.
 2.  The thugs who burned your village.
 3.  The parents who wait for your return.
 4.  The strange witch to whom your family owes a debt.
 5.  The retired adventurer who trained you.
 6.  The druid who—according to the villagers—laid a drought curse on your land.
 7.  The village bully who threatened to kill you if you ever returned.
 8.  The evil wizard who will stop at nothing to take your family heirloom.
 9.  Your elder sibling who left searching for adventure before you did.
 10. The dragon whose foul reek has spoiled your countryside.


FARMER MEMENTOS

 1.  A strange item you dug up in a field: a key, a lump of unmeltable metal, a
     glass dagger.
 2.  The bag of beans your mother warned you not to plant.
 3.  The shovel, pickaxe, pitchfork, or other tool you used for labor. For you
     it's a one-handed simple melee weapon that deals 1d6 piercing, slashing, or
     bludgeoning damage.
 4.  A debt you must pay.
 5.  A mastiff.
 6.  Your trusty fishing pole.
 7.  A corncob pipe.
 8.  A dried flower from your family garden.
 9.  Half of a locket given to you by a missing sweetheart.
 10. A family weapon said to have magic powers, though it exhibits none at the
     moment. | Equipment: Common clothes, shovel, mule with saddlebags, 5 Supply (rations). | Skill Proficiencies: Nature, and either Animal Handling or Survival. | Tool Proficiencies: Land vehicles."
"Folk Hero","Ability Score Increases: +1 to Constitution and one other ability score. | Adventures And Advancement: Common folk come to you with all sorts of problems. If you fought an oppressive
regime, they bring you tales of injustice. If you fought a monster, they seek
you out with monster problems. If you solve many such predicaments, you become
universally famous, gaining the benefits of your Local Fame feature in every
settled land. | Connection and Memento: Roll 1d10, choose, or make up your own.


FOLK HERO CONNECTIONS

 1.  The bard whose song made you legendary and who wants a sequel.
 2.  Your friend, a traveling merchant whose caravan spreads your fame.
 3.  A deadly enemy: the heir of the oppressive noble you killed.
 4.  A deadly enemy: the mother of the monster you killed.
 5.  A deadly enemy: the leader of the bandits you defeated.
 6.  A deadly enemy: the tyrant you robbed.
 7.  A kid who wants to follow your footsteps into danger.
 8.  The jealous rival who wants to best your monster-slaying prowess, daring
     deeds, prize pie recipe, or whatever else made your famous.
 9.  A secret admirer: the heir or heiress of the oppressive noble you defeated.
 10. The retired adventurer who trained you and is now in a bit of trouble.


FOLK HERO MEMENTOS

 1.  The mask you used to conceal your identity while fighting oppression (you
     are only recognized as a folk hero while wearing the mask).
 2.  A necklace bearing a horn, tooth, or claw from the monster you defeated.
 3.  A ring given to you by the dead relative whose death you avenged.
 4.  The weapon you wrestled from the leader of the raid on your village.
 5.  The trophy, wrestling belt, silver pie plate, or other prize marking you as
     the county champion.
 6.  The famous scar you earned in your struggle against your foe.
 7.  The signature weapon which provides you with your nickname.
 8.  The injury or physical difference by which your admirers and foes recognize
     you.
 9.  The signal whistle or instrument which you used to summon allies and spook
     enemies.
 10. Copies of the ballads and poems written in your honor. | Equipment: Any artisan's tools except alchemist's supplies, common clothes. | Local Fame: Unless you conceal your identity, you're universally recognized and admired near
the site of your exploits. You and your companions are treated to a moderate
lifestyle in any settlement within 100 miles of your Prestige Center. | Skill Proficiencies: Survival, and either Animal Handling or Nature. | Tool Proficiencies: One type of artisan’s tools, one vehicle."
"Gambler","Ability Score Increases: +1 to Charisma and one other ability score. | Adventures And Advancement: Once you've had more than your fair share of lucky throws, you attract the
attention of richer opponents. You add +1 to all your lucky throws.
Additionally, you and your friends may be invited to exclusive games with more
at stake than money. | Connection and Memento: Roll 1d10, choose, or make up your own.


GAMBLER CONNECTIONS

 1.  The mentor you have now surpassed.
 2.  The duelist who will never forgive you for fleecing them.
 3.  The legendary gambler you aspire to beat.
 4.  The friendly rival who always keeps you on your toes.
 5.  The noble who publicly accused you of cheating.
 6.  An ink-stained academic who wants you to test a risky theory about how to
     beat the house.
 7.  The gang leader who would rather kill you than pay up.
 8.  The kid who strives to emulate you.
 9.  The cardsharp rival who cheats to win.
 10. The rival who won something from you that you want back.


GAMBLER MEMENTOS

 1.  Gambling debts owed you by someone who's gone missing.
 2.  Your lucky coin that you've always won back after gambling it away.
 3.  The deeds to a monster-infested copper mine, a castle on another plane of
     existence, and several other valueless properties.
 4.  A pawn shop ticket for a valuable item—if you can gather enough money to
     redeem it.
 5.  The hard-to-sell heirloom that someone really wants back.
 6.  Loaded dice or marked cards. They grant advantage on gambling checks when
     used, but can be discovered when carefully examined by someone with the
     appropriate tool proficiency (dice or cards).
 7.  An invitation to an annual high-stakes game to which you can't even afford
     the ante.
 8.  A two-faced coin.
 9.  A torn half of a card—a long-lost relative is said to hold the other half.
 10. An ugly trinket that its former owner claimed had hidden magical powers. | Equipment: Fine clothes, dice set, playing card set. | Lady Luck: Each week you may attempt a “lucky throw” to support yourself by gambling. Roll
a d6 to determine the lifestyle you can afford with your week's winnings (1–2:
poor, 3–5: moderate, 6: rich). | Skill Proficiencies: Deception, and either Insight or Sleight of Hand."
