class_name,archetype_name,archetype_description,archetype_slug,document_title,document_url
"Barbarian","Path of the Juggernaut","Honed to assault the lairs of powerful threats to their way of life, or defend
against armed hordes of snarling goblinoids, the juggernauts represent the
finest of frontline destroyers within the primal lands and beyond.

THUNDEROUS BLOWS

Starting when you choose this path at 3rd level, your rage instills you with the
strength to batter around your foes, making any battlefield your domain. Once
per turn while raging, when you damage a creature with a melee attack, you can
force the target to make a Strength saving throw (DC 8 + your proficiency bonus
+ your Strength modifier). On a failure, you push the target 5 feet away from
you, and you can choose to immediately move 5 feet into the target’s previous
position. ##### Stance of the Mountain You harness your fury to anchor your feet
to the earth, shrugging off the blows of those who wish to topple you. Upon
choosing this path at 3rd level, you cannot be knocked prone while raging unless
you become unconscious.

DEMOLISHING MIGHT

Beginning at 6th level, you can muster destructive force with your assault,
shaking the core of even the strongest structures. All of your melee attacks
gain the siege property (your attacks deal double damage to objects and
structures). Your melee attacks against creatures of the construct type deal an
additional 1d8 weapon damage.

OVERWHELMING CLEAVE

Upon reaching 10th level, you wade into armies of foes, great swings of your
weapon striking many who threaten you. When you make a weapon attack while
raging, you can make another attack as a bonus action with the same weapon
against a different creature that is within 5 feet of the original target and
within range of your weapon.

UNSTOPPABLE

Starting at 14th level, you can become “unstoppable” when you rage. If you do
so, for the duration of the rage your speed cannot be reduced, and you are
immune to the frightened, paralyzed, and stunned conditions. If you are
frightened, paralyzed, or stunned, you can still take your bonus action to enter
your rage and suspend the effects for the duration of the rage. When your rage
ends, you suffer one level of exhaustion (as described in appendix A, PHB).","path-of-the-juggernaut","Critical Role: Tal’Dorei Campaign Setting","https://https://greenronin.com/blog/2017/09/25/ronin-round-table-integrating-wizards-5e-adventures-with-the-taldorei-campaign-setting/"
"Barbarian","Path of the Berserker","For some barbarians, rage is a means to an end- that end being violence. The
Path of the Berserker is a path of untrammeled fury, slick with blood. As you
enter the berserker's rage, you thrill in the chaos of battle, heedless of your
own health or well-being.

FRENZY

Starting when you choose this path at 3rd level, you can go into a frenzy when
you rage. If you do so, for the duration of your rage you can make a single
melee weapon attack as a bonus action on each of your turns after this one. When
your rage ends, you suffer one level of exhaustion (as described in appendix A).

MINDLESS RAGE

Beginning at 6th level, you can't be charmed or frightened while raging. If you
are charmed or frightened when you enter your rage, the effect is suspended for
the duration of the rage.

INTIMIDATING PRESENCE

Beginning at 10th level, you can use your action to frighten someone with your
menacing presence. When you do so, choose one creature that you can see within
30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom
saving throw (DC equal to 8 + your proficiency bonus + your Charisma modifier)
or be frightened of you until the end of your next turn. On subsequent turns,
you can use your action to extend the duration of this effect on the frightened
creature until the end of your next turn. This effect ends if the creature ends
its turn out of line of sight or more than 60 feet away from you.

If the creature succeeds on its saving throw, you can't use this feature on that
creature again for 24 hours.

RETALIATION

Starting at 14th level, when you take damage from a creature that is within 5
feet of you, you can use your reaction to make a melee weapon attack against
that creature.","path-of-the-berserker","5e Core Rules","http://dnd.wizards.com/articles/features/systems-reference-document-srd"
"Barbarian","Path of Booming Magnificence","Barbarians who walk the Path of Booming Magnificence strive to be as lions among
their people: symbols of vitality, majesty, and courage. They serve at the
vanguard, leading their allies at each charge and drawing their opponents'
attention away from more vulnerable members of their group. As they grow more
experienced, members of this path often take on roles as leaders or in other
integral positions.

ROAR OF DEFIANCE

Beginning at 3rd level, you can announce your presence by unleashing a
thunderous roar as part of the bonus action you take to enter your rage. Until
the beginning of your next turn, each creature of your choice within 30 feet of
you that can hear you has disadvantage on any attack roll that doesn't target
you. Until the rage ends, if a creature within 5 feet of you that heard your
Roar of Defiance deals damage to you, you can use your reaction to bellow at
them. Your attacker must succeed on a Constitution saving throw or take 1d6
thunder damage. The DC is equal to 8 + your proficiency bonus + your Charisma
modifier. The damage you deal with this feature increases to 2d6 at 10th level.
Once a creature takes damage from this feature, you can't use this feature on
that creature again during this rage.

RUNNING LEAP

At 3rd level, while you are raging, you can leap further. When you make a
standing long jump, you can leap a number of feet equal to your Strength score.
With a 10-foot running start, you can long jump a number of feet equal to twice
your Strength score.

LION'S GLORY

Starting at 6th level, when you enter your rage, you can choose a number of
allies that can see you equal to your Charisma modifier (minimum 1). Until the
rage ends, when a chosen ally makes a melee weapon attack, the ally gains a
bonus to the damage roll equal to the Rage Damage bonus you gain, as shown in
the Rage Damage column of the Barbarian table. Once used, you can't use this
feature again until you finish a long rest.

RESONANT BELLOW

At 10th level, your roars can pierce the fog of fear. As a bonus action, you can
unleash a mighty roar, ending the frightened condition on yourself and each
creature of your choice within 60 feet of you and who can hear you. Each
creature that ceases to be frightened gains 1d12 + your Charisma modifier
(minimum +1) temporary hit points for 1 hour. Once used, you can't use this
feature again until you finish a short or long rest.

VICTORIOUS ROAR

At 14th level, you exult in your victories. When you hit with at least two
attacks on the same turn, you can use a bonus action to unleash a victorious
roar. One creature you can see within 30 feet of you must make a Wisdom saving
throw with a DC equal to 8 + your proficiency bonus + your Charisma modifier. On
a failure, the creature takes psychic damage equal to your barbarian level and
is frightened until the end of its next turn. On a success, it takes half the
damage and isn't frightened.","path-of-booming-magnificence","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Barbarian","Path of Hellfire","Devils have long been known to grant power to mortals as part of a pact or
bargain. While this may take the form of unique magic or boons, those who follow
the Path of Hellfire are gifted with command over the fires of the Lower Planes,
which they channel for short periods to become powerful and furious fighting
machines. While some of these barbarians are enlisted to support the devils'
interests as soldiers or enforcers, some escape their devilish fates, while
others still are released after their term of service.

#####Hellish Aspect Beginning at 3rd level, when you enter your rage, you take
on minor fiendish aspects. The way these aspects manifest is up to you and can
include sprouting horns from your head, changing the color of your skin, growing
fangs or a tail, or other small physical changes. Though infused with fiendish
power, you aren't a fiend. While raging, you have resistance to fire damage, and
the first creature you hit on each of your turns with a weapon attack takes 1d6
extra fire damage. This damage increases to 2d6 at 10th level.

#####Hell's Vengeance At 6th level, you can use your hellfire to punish enemies.
If an ally you can see within 60 feet of you takes damage while you are raging,
you can use your reaction to surround the attacker with hellfire, dealing fire
damage equal to your proficiency bonus to it.

#####Hellfire Shield Starting at 10th level, when you enter your rage, you can
surround yourself with flames. This effect works like the fire shield spell,
except you are surrounded with a warm shield only and it ends when your rage
ends. Once used, you can't use this feature again until you finish a short or
long rest.

#####Devilish Essence At 14th level, while raging, you have advantage on saving
throws against spells and other magical effects, and if you take damage from a
spell, you can use your reaction to gain temporary hit points equal to your
barbarian level.","path-of-hellfire","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Barbarian","Path of Mistwood","The first barbarians that traveled the path of mistwood were elves who expanded
upon their natural gifts to become masters of the forests. Over time, members of
other races who saw the need to protect and cherish the green places of the
world joined and learned from them. Often these warriors haunt the woods alone,
only seen when called to action by something that would despoil their home.

BONUS PROFICIENCY

At 3rd level, you gain proficiency in the Stealth skill. If you are already
proficient in Stealth, you gain proficiency in another barbarian class skill of
your choice.

MISTWOOD DEFENDER

Starting at 3rd level, you can use the Reckless Attack feature on ranged weapon
attacks with thrown weapons, and, while you aren't within melee range of a
hostile creature that isn't incapacitated, you can draw and throw a thrown
weapon as a bonus action. In addition, when you make a ranged weapon attack with
a thrown weapon using Strength while raging, you can add your Rage Damage bonus
to the damage you deal with the thrown weapon.

FROM THE MIST

Beginning at 6th level, mist and fog don't hinder your vision. In addition, you
can cast the misty step spell, and you can make one attack with a thrown weapon
as part of the same bonus action immediately before or immediately after you
cast the spell. You can cast this spell while raging. You can use this feature a
number of times equal to your proficiency bonus, and you regain all expended
uses when you finish a long rest.

MIST DANCE

Starting at 10th level, when you use the Attack action while raging, you can
make one attack against each creature within 5 feet of you in place of one of
your attacks. You can use this feature a number of times equal to your
proficiency bonus, and you regain all expended uses when you finish a long rest.

WAR BAND'S PASSAGE

Starting at 14th level, when you use your From the Mist feature to cast misty
step, you can bring up to two willing creatures within 5 feet of you along with
you, as long as each creature isn't carrying more than its carrying capacity.
Attacks against you and any creatures you bring with you have disadvantage until
the start of your next turn.","path-of-mistwood","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Barbarian","Path of the Dragon","Few creatures embody the power and majesty of dragons. By walking the path of
the dragon, you don't solely aspire to emulate these creatures—you seek to
become one. The barbarians who follow this path often do so after surviving a
dragon encounter or are raised in a culture that worships them. Dragons tend to
have a mixed view of the barbarians who choose this path. Some dragons, in
particular the metallic dragons, view such a transformation as a flattering act
of admiration. Others may recognize or even fully embrace them as useful to
their own ambitions. Still others view this path as embarrassing at best and
insulting at worst, for what puny, two-legged creature can ever hope to come
close to the natural ferocity of a dragon? When choosing this path, consider
what experiences drove you to such a course. These experiences will help inform
how you deal with the judgment of dragons you encounter in the world.

TOTEM DRAGON

Starting when you choose this path at 3rd level, you choose which type of dragon
you seek to emulate. You can speak and read Draconic, and you are resistant to
the damage type of your chosen dragon.

Dragon Damage Type Black or Copper Acid Blue or Bronze Lightning Brass, Gold, or
Red Fire Green Poison Silver or White Cold

WYRM TEETH

At 3rd level, your jaws extend and become dragon-like when you enter your rage.
While raging, you can use a bonus action to make a melee attack with your bite
against one creature you can see within 5 feet of you. You are proficient with
the bite. When you hit with it, your bite deals piercing damage equal to 1d8 +
your Strength modifier + damage of the type associated with your totem dragon
equal to your proficiency bonus.

LEGENDARY MIGHT

Starting at 6th level, if you fail a saving throw, you can choose to succeed
instead. Once you use this feature, you can't use it again until you finish a
long rest. When you reach 14th level in this class, you can use this feature
twice between long rests.

ASPECT OF THE DRAGON

At 10th level, you take on additional draconic features while raging. When you
enter your rage, choose one of the following aspects to manifest.

Dragon Heart. You gain temporary hit points equal to 1d12 + your barbarian
level. Once you manifest this aspect, you must finish a short or long rest
before you can manifest it again.

Dragon Hide. Scales sprout across your skin. Your Armor Class increases by 2.

Dragon Sight. Your senses become those of a dragon. You have blindsight out to a
range of 60 feet.

Dragon Wings. You sprout a pair of wings that resemble those of your totem
dragon. While the wings are present, you have a flying speed of 30 feet. You
can't manifest your wings while wearing armor unless it is made to accommodate
them, and clothing not made to accommodate your wings might be destroyed when
you manifest them.

WYRM LUNGS

At 14th level, while raging, you can use an action to make a breath weapon
attack. You exhale your breath in a 60-foot cone. Each creature in the area must
make a Dexterity saving throw (DC equal to 8 + your proficiency bonus + your
Constitution modifier), taking 12d8 damage of the type associated with your
totem dragon on a failed save, or half as much damage on a successful one. Once
you use this feature, you can't use it again until you finish a long rest.","path-of-the-dragon","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Barbarian","Path of the Herald","In northern lands, the savage warriors charge into battle behind chanting
warrior-poets. These wise men and women collect the histories, traditions, and
accumulated knowledge of the people to preserve and pass on. Barbarians who
follow the Path of the Herald lead their people into battle, chanting the
tribe's sagas and spurring them on to new victories while honoring the glory of
the past.

ORAL TRADITION

When you adopt this path at 3rd level, you gain proficiency in History and
Performance. If you already have proficiency in one of these skills, your
proficiency bonus is doubled for ability checks you make using that skill.

BATTLE FERVOR

Starting when you choose this path at 3rd level, when you enter a rage, you can
expend one additional daily use of rage to allow a number of willing creatures
equal to half your proficiency bonus (minimum of 1) within 30 feet of you to
enter a rage as well. A target must be able to see and hear you to enter this
rage. Each target gains the benefits and restrictions of the barbarian Rage
class feature. In addition, the rage ends early on a target if it can no longer
see or hear you.

LOREKEEPER

As a historian, you know how much impact the past has on the present. At 6th
level, you can enter a trance and explore your people's sagas to cast the
augury, comprehend languages, or identify spell, but only as a ritual. After you
cast a spell in this way, you can't use this feature again until you finish a
short or long rest.

BOLSTERING CHANT

At 10th level, when you end your rage as a bonus action, you regain a number of
hit points equal to your barbarian level x 3. Alternatively, if you end your
rage and other creatures are also raging due to your Battle Fervor feature, you
and each creature affected by your Battle Fervor regains a number of hit points
equal to your barbarian level + your Charisma modifier.

THUNDEROUS ORATORY

At 14th level, while you are raging, your attacks deal an extra 2d6 thunder
damage. If a creature is raging due to your Battle Fervor feature, its weapon
attacks deal an extra 1d6 thunder damage. In addition, when you or a creature
affected by your Battle Fervor scores a critical hit with a melee weapon attack,
the target must succeed on a Strength saving throw (DC equal to 8 + your
proficiency bonus + your Charisma modifier) or be pushed up to 10 feet away and
knocked prone in addition to any extra damage from the critical hit.","path-of-the-herald","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Barbarian","Path of the Inner Eye","The barbarians who follow the Path of the Inner Eye elevate their rage beyond
anger to glimpse premonitions of the future.

ANTICIPATORY STANCE

When you choose this path at 3rd level, you can't be surprised unless you are
incapacitated, and attacks against you before your first turn have disadvantage.
If you take damage before your first turn, you can enter a rage as a reaction,
gaining resistance to bludgeoning, piercing, and slashing damage from the
triggering attack. When you reach 8th level in this class, you get 1 extra
reaction on each of your turns. This extra reaction can be used only for
features granted by the Path of the Inner Eye, such as Insightful Dodge or
Preemptive Parry. When you reach 18th level in this class, this increases to 2
extra reactions on each of your turns.

INSIGHTFUL DODGE

Beginning at 6th level, when you are hit by an attack while raging, you can use
your reaction to move 5 feet. If this movement takes you beyond the range of the
attack, the attack misses instead. You can use this feature a number of times
equal to your proficiency bonus. You regain all expended uses when you finish a
long rest.

FORETELLING TACTICS

Starting at 10th level, when you hit a creature with a weapon attack while
raging, up to two creatures of your choice who can see and hear you can each use
a reaction to immediately move up to half its speed toward the creature you hit
and make a single melee or ranged weapon attack against that creature. This
movement doesn't provoke opportunity attacks. Once you use this feature, you
can't use it again until you finish a short or long rest.

PREEMPTIVE PARRY

At 14th level, if you are raging and a creature you can see within your reach
hits another creature with a weapon attack, you can use your reaction to force
the attacker to reroll the attack and use the lower of the two rolls. If the
result is still a hit, reduce the damage dealt by your weapon damage die + your
Strength modifier.","path-of-the-inner-eye","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Barbarian","Path of Thorns","Path of Thorns barbarians use ancient techniques developed by the druids of old
that enable them to grow thorns all over their body. The first barbarians of
this path fought alongside these druids to defend the natural order. In the
centuries since, the knowledge of these techniques has spread, allowing others
access to this power. Though named for the thorns that covered the first
barbarians to walk this path, current followers of this path can display thorns,
spines, or boney growths while raging.

BLOSSOMING THORNS

Beginning at 3rd level, when you enter your rage, hard, sharp thorns emerge over
your whole body, turning your unarmed strikes into dangerous weapons. When you
hit with an unarmed strike while raging, your unarmed strike deals piercing
damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage
normal for an unarmed strike. In addition, while raging, when you use the Attack
action with an unarmed strike on your turn, you can make one unarmed strike as a
bonus action. The unarmed strike damage you deal while raging increases when you
reach certain levels in this class: to 1d6 at 8th level and to 1d8 at 14th
level.

THORNED GRASP

Also at 3rd level, when you use the Attack action to grapple a creature while
raging, the target takes 1d4 piercing damage if your grapple check succeeds, and
it takes 1d4 piercing damage at the start of each of your turns, provided you
continue to grapple the creature and are raging. When you reach 10th level in
this class, this damage increases to 2d4.

NATURE'S BLESSING

At 6th level, the thorns you grow while raging become more powerful and count as
magical for the purpose of overcoming resistance and immunity to nonmagical
attacks and damage. When you are hit by a melee weapon attack by a creature
within 5 feet of you while raging, that creature takes 1d4 piercing damage. When
you reach 10th level in this class, this damage increases to 2d4. Alternatively,
while raging, you can use your reaction to disarm a creature that hits you with
a melee weapon while within 5 feet of you by catching its weapon in your thorns
instead of the attacker taking damage from your thorns. The attacker must
succeed on a Strength saving throw (DC equal to 8 + your Constitution modifier +
your proficiency bonus) or drop the weapon it used to attack you. The weapon
lands at its feet. The attacker must be wielding a weapon for you to use this
reaction.

TOXIC INFUSION

Starting at 10th level, when you enter your rage or as a bonus action while
raging, you can infuse your thorns with toxins for 1 minute. While your thorns
are infused with toxins, the first creature you hit on each of your turns with
an unarmed strike must succeed on a Constitution saving throw (DC equal to 8 +
your Constitution modifier + your proficiency bonus) or be poisoned until the
end of its next turn. You can use this feature a number of times equal to your
proficiency bonus. You regain all expended uses when you finish a long rest.

THORN BARRAGE

At 14th level, you can use an action to shoot the thorns from your body while
raging. Each creature within 10 feet of you must make a Dexterity saving throw
(DC equal to 8 + your Constitution modifier + your proficiency bonus), taking
4d6 piercing damage on a failed save, or half as much damage on a successful
one. You can use this feature a number of times equal to your proficiency bonus.
You regain all expended uses when you finish a long rest.","path-of-thorns","Tome of Heroes","https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/"
"Bard","College of Skalds","Skalds are poets of battle, recounting the deeds of heroes and the bloody
battles that shook nations. But you do more than just tell stories; a skald
draws on the tales of past greatness in his own quest for glory on the
battlefield. While learning the sagas of bygone years, you have also taken up a
practical study of combat, allowing you to use more weapons and with greater
effectiveness than most bards. When you sing the song of battle to bolster your
allies, you are right alongside them, going toe to toe with formidable foes to
become worthy of the poems from the skalds who will recount your tale.

COMBAT APTITUDE

When you choose the College of Skalds at 3rd level, you become proficient in all
martial weapons, as well as in the use of medium armor and shields.

SAGA OF DEEDS

Starting at 3rd level, you can use your stories of the great battles of legend
to inspire your allies in combat. The dice gained from your Bardic Inspiration
feature can be used in the following ways:

 * After rolling damage for a successful weapon attack, a creature can choose to
   roll a Bardic Inspiration die and add the result to the damage dealt.
 * When a creature is the target of an attack roll, before knowing whether the
   rolled number is a hit or a miss, it may roll a Bardic Inspiration die as a
   reaction, adding the result to its armor class for this specific attack only.

BATTLE FURY

At 6th level, you can unleash even more fury in combat. When you use the attack
action, you can make two attacks instead of one.

SONG AND STRIKE

Starting at 14th level, you can wade into combat even as you wield your bardic
magic. Any time you cast a bard spell as an action, you can use your bonus
action to make a single weapon attack.","college-of-skalds","Open5e Original Content","open5e.com"
