name,description,traits
"High Elf","As a high elf, you have a keen mind and a mastery of at least the basics of magic. In many fantasy gaming worlds, there are two kinds of high elves. One type is haughty and reclusive, believing themselves to be superior to non-elves and even other elves. The other type is more common and more friendly, and often encountered among humans and other races.","Ability Score Increase: Your Intelligence score increases by 1. | Elf Weapon Training: You have proficiency with the longsword, shortsword, shortbow, and longbow. | Cantrip: You know one cantrip of your choice from the wizard spell list. Intelligence is
your spellcasting ability for it. | Extra Language: You can speak, read, and write one extra language of your choice."
"Hill Dwarf","As a hill dwarf, you have keen senses, deep intuition, and remarkable resilience.","Ability Score Increase: Your Wisdom score increases by 1. | Dwarven Toughness: Your hit point maximum increases by 1, and it increases by 1 every time you gain
a level."
"Lightfoot","As a lightfoot halfling, you can easily hide from notice, even using other people as cover. You're inclined to be affable and get along well with others. Lightfoots are more prone to wanderlust than other halflings, and often dwell alongside other races or take up a nomadic life.","Ability Score Increase: Your Charisma score increases by 1. | Naturally Stealthy: You can attempt to hide even when you are obscured only by a creature that is at
least one size larger than you."
"Rock Gnome","As a rock gnome, you have a natural inventiveness and hardiness beyond that of other gnomes.","Ability Score Increase: Your Constitution score increases by 1. | Artificer's Lore: Whenever you make an Intelligence (History) check related to magic items,
alchemical objects, or technological devices, you can add twice your proficiency
bonus, instead of any proficiency bonus you normally apply. | Tinker: You have proficiency with artisan's tools (tinker's tools). Using those tools,
you can spend 1 hour and 10 gp worth of materials to construct a Tiny clockwork
device (AC 5, 1 hp). The device ceases to function after 24 hours (unless you
spend 1 hour repairing it to keep the device functioning), or when you use your
action to dismantle it; at that time, you can reclaim the materials used to
create it. You can have up to three such devices active at a time.

When you create a device, choose one of the following options:

 * Clockwork Toy. This toy is a clockwork animal, monster, or person, such as a
   frog, mouse, bird, dragon, or soldier. When placed on the ground, the toy
   moves 5 feet across the ground on each of your turns in a random direction.
   It makes noises as appropriate to the creature it represents.
 * Fire Starter. The device produces a miniature flame, which you can use to
   light a candle, torch, or campfire. Using the device requires your action.
 * Music Box. When opened, this music box plays a single song at a moderate
   volume. The box stops playing when it reaches the song's end or when it is
   closed."
"Acid Cap","You were one of the warriors and guardians of your clan, using your strength and acid spores to protect your clanmates and your territory.","Ability Score Increase: Your Strength score increases by 1. | Acid Cap Resistance: You have resistance to acid damage. | Acid Spores: When you are hit by a melee weapon attack within 5 feet of you, you can use your
reaction to emit acidic spores. If you do, the attacker takes acid damage equal
to half your level (rounded up). You can use your acid spores a number of times
equal to your Constitution modifier (a minimum of once). You regain any expended
uses when you finish a long rest. | Clan Athlete: You have proficiency in the Athletics skill."
"Bhain Kwai","You are a minotaur adapted to life in the bogs and wetlands of the world.","Ability Score Increase: Your Constitution score increases by 2, and your Strength score increases by 1. | Strong Back: Your carrying capacity is your Strength score multiplied by 20, instead of by
15. | Wetland Dweller: You are adapted to your home terrain. Difficult terrain composed of mud or from
wading through water up to waist deep doesn't cost you extra movement. You have
a swimming speed of 25 feet."
"Boghaid","You are a minotaur adapted to life in cold climates and high altitudes.","Ability Score Increase: Your Wisdom score increases by 2, and your Constitution score increases by 1. | Highlander: You are adapted to life at high altitudes, and you suffer no ill effects or
penalties from elevations above 8,000 feet. | Storied Culture: You have proficiency in the Performance skill, and you gain proficiency with one
of the following musical instruments: bagpipes, drum, horn, or shawm. | Wooly: Your thick, wooly coat of hair keeps you warm, allowing you to function in cold
weather without special clothing or gear. You have advantage on saving throws
against spells and other effects that deal cold damage."
"Delver","You are one of the workers whose labors prop up most of drow society. You were trained from birth to follow orders and serve the collective. You learned your trade well, whether it was building or fighting or erecting the traps that protected passages to your population centers.","Ability Score Increase: Your Strength or Dexterity score increases by 1. | Rapport with Insects: Your caste's years of working alongside the giant spiders and beetles that your
people utilized in building and defending cities has left your caste with an
innate affinity with the creatures. You can communicate simple ideas with
insect-like beasts with an Intelligence of 3 or lower, such as spiders, beetles,
wasps, scorpions, and centipedes. You can understand them in return, though this
understanding is often limited to knowing the creature's current or most recent
state, such as “hungry,” “content,” or “in danger.” Delver drow often keep such
creatures as pets, mounts, or beasts of burden. | Specialized Training: You are proficient in one skill and one tool of your choice. | Martial Excellence: You are proficient with one martial weapon of your choice and with light armor."
"Derro Heritage","Your darakhul character was a derro before transforming into a darakhul. For you, the quieting of the otherworldly voices did not bring peace and tranquility. The impulses simply became more focused, and the desire to feast on flesh overwhelmed other urges. The darkness is still there; it just has a new, clearer form.","Ability Score Increase: Your Charisma score increases by 2. | Calculating Insanity: The insanity of your race was compressed into a cold, hard brilliance when you
took on your darakhul form. These flashes of brilliance come to you at
unexpected moments. You know the true strike cantrip. Charisma is your
spellcasting ability for it. You can cast true strike as a bonus action a number
of times equal to your Charisma modifier (a minimum of once). You regain any
expended uses when you finish a long rest."
"Dragonborn Heritage","Your darakhul character was a dragonborn before transforming into a darakhul. The dark power of undeath overwhelmed your elemental nature, replacing it with the foul energy and strength of the undead. Occasionally, your draconic heritage echoes a peal of raw power through your form, but it is quickly converted into necrotic waves.","Ability Score Increase: Your Strength score increases by 2. | Corrupted Bite: The inherent breath weapon of your draconic heritage is corrupted by the
necrotic energy of your new darakhul form. Instead of forming a line or cone,
your breath weapon now oozes out of your ghoulish maw. As a bonus action, you
breathe necrotic energy onto your fangs and make one bite attack. If the attack
hits, it deals extra necrotic damage equal to your level. You can't use this
trait again until you finish a long rest."
"Drow Heritage","Your darakhul character was a drow before transforming into a darakhul. Your place within the highly regimented drow society doesn't feel that much different from your new place in the darakhul empires. But an uncertainty buzzes in your mind, and a hunger gnaws at your gut. You are now what you once hated and feared. Does it feel right, or is it something you fight against?","Ability Score Increase: Your Intelligence score increases by 2. | Poison Bite: When you hit with your bite attack, you can release venom into your foe. If you
do, your bite deals an extra 1d6 poison damage. The damage increases to 3d6 at
11th level. After you release this venom into a creature, you can't do so again
until you finish a short or long rest."
